"","D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
"VA1d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VA1v",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VA2",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,2,2,0,0,0,7,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
"VA3",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VA4",0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,8,4,1,2,0,1,1,2,2,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0
"VA5",0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"VA6",0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,4,0,0,0,0,2,0,2,0,1,0,1,0,2,0,0,0,0,1,0
"VA7l",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VA7m",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"VC1",0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"VC2",0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,2,0,1,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,5,0,2,0,0,0,0,1,0,1,0,0,0,0,1,1
"VC3l",0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,2,2,0,1,3,2,0,0,1,0,0,1,2,0,1,0,0,8,0,1,0,0,0,0,0,2,1,0,0,0,0,0
"VC3m",0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,5,0,0,0,0,1,0,0,0,0,0,0,0,2
"VC4",0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,3,0,3,0,1,1,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,7,0,1,0,1,0,1,4,0,0,0,2,0
"VC5",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"VL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"VL2a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VL2p",0,1,0,0,0,0,0,0,1,0,2,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,7,0,1,0,0,0,0,1,0
"VM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VM2",0,0,0,0,0,0,2,1,1,0,2,0,0,1,0,0,1,3,1,2,1,2,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,0,1,0,0,0,1,0,8,1,0,0,0,1,0
"VM3",0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,9,9,3,5,1,1,3,4,7,0,0,1,0,2,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,18,0,0,0,1,0
"VM4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VM5d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VM5v",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VM7d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,2,2,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,2,0,0,0,1,0,1,1,0,0,0,6,0
"VM7v",0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
