"kc.bodyId","kc.instance","kc.type","nb.cluster","kc.largetype","nclaw","npostsyn"
"331999213","KCab-s_R","kcabs","c","alphabeta",6,84
"5813021311","KCab-m_R","kcabm","d","alphabeta",9,96
"661407917","KCa'b'-m_R","kcabprimem","c","alphaprimebetaprime",7,81
"5812982252","KCg-m_R","kcg","c","gamma",8,120
"487489064","KCa'b'-ap2_R","kcabprimeap2","b","alphaprimebetaprime",2,33
"755544921","KCg-m_R","kcg","b","gamma",7,107
"5813021251","KCab-s_R","kcabs","a","alphabeta",7,78
"877992303","KCab-m_R","kcabm","b","alphabeta",6,62
"674056882","KCab-m_R","kcabm","a","alphabeta",6,69
"724522447","KCg-m_R","kcg","b","gamma",6,148
"5812980370","KCab-c_R","kcabc","b","alphabeta",3,52
"909026561","KCab-m_R","kcabm","b","alphabeta",6,90
"736463614","KCab-m_R","kcabm","b","alphabeta",6,93
"5813022117","KCa'b'-ap2_R","kcabprimeap2","b","alphaprimebetaprime",6,92
"797855394","KCab-m_R","kcabm","a","alphabeta",5,58
"674056647","KCab-m_R","kcabm","b","alphabeta",4,75
"848666776","KCab-m_R","kcabm","b","alphabeta",6,88
"5812983575","KCab-c_R","kcabc","b","alphabeta",6,33
"939733918","KCa'b'-m_R","kcabprimem","a","alphaprimebetaprime",7,52
"579928928","KCa'b'-m_R","kcabprimem","a","alphaprimebetaprime",4,37
"5812980404","KCab-s_R","kcabs","b","alphabeta",6,74
"768184623","KCa'b'-m_R","kcabprimem","b","alphaprimebetaprime",4,57
"301309622","KCab-c_R","kcabc","a","alphabeta",4,38
"940084095","KCab-c_R","kcabc","a","alphabeta",6,45
"939738376","KCab-s_R","kcabs","a","alphabeta",6,91
"673370525","KCa'b'-m_R","kcabprimem","a","alphaprimebetaprime",4,27
"1046812283","KCab-m_R","kcabm","a","alphabeta",6,105
"5812983023","KCab-m_R","kcabm","d","alphabeta",5,92
"5812983323","KCg-m_R","kcg","d","gamma",6,91
"5813021363","KCg-m_R","kcg","c","gamma",10,162
"1174384118","KCg-m_R","kcg","c","gamma",8,172
"569943419","KCab-m_R","kcabm","d","alphabeta",4,89
"923700162","KCa'b'-m_R","kcabprimem","d","alphaprimebetaprime",2,36
"5813019982","KCg-m_R","kcg","d","gamma",8,179
"5812981072","KCa'b'-m_R","kcabprimem","c","alphaprimebetaprime",4,45
"736808522","KCa'b'-ap2_R","kcabprimeap2","d","alphaprimebetaprime",7,85
"724816217","KC part due to gap","unknown",NA,"unknown",5,47
"331662717","KCab-s_R","kcabs","c","alphabeta",6,103
"5812983028","KCab-m_R","kcabm","d","alphabeta",4,88
"631051012","KCab-s_R","kcabs","d","alphabeta",4,80
"632017828","KC part due to gap","unknown","d","unknown",1,12
"5812980579","KCg-m_R","kcg","c","gamma",10,190
"5813040887","KC part due to gap","unknown",NA,"unknown",5,23
"724134138","KCab-m_R","kcabm","d","alphabeta",4,57
"5812982389","KCab-m_R","kcabm","c","alphabeta",5,96
"5812982205","KCg-m_R","kcg","d","gamma",8,107
"5813021471","KCab-c_R","kcabc","c","alphabeta",5,83
"5813021766","KCa'b'-ap2_R","kcabprimeap2","c","alphaprimebetaprime",5,64
"5813032245","KCab-c_R","kcabc","c","alphabeta",4,27
"456134692","KCab-s_R","kcabs","c","alphabeta",7,92
"1141972158","KCg-m_R","kcg","a","gamma",9,148
"829572451","KCab-c_R","kcabc","c","alphabeta",5,32
"1111278454","KCg-m_R","kcg","a","gamma",10,208
"5812981679","KCab-s_R","kcabs","c","alphabeta",5,70
"673366263","KCa'b'-ap2_R","kcabprimeap2","a","alphaprimebetaprime",5,54
"1173054679","KCg-m_R","kcg","a","gamma",8,140
"5813021294","KCg-m_R","kcg","c","gamma",10,226
"518873469","KCab-s_R","kcabs","a","alphabeta",5,85
"363042781","KCab-m_R","kcabm","c","alphabeta",6,88
"5813065443","KCab-s_R","kcabs","c","alphabeta",4,98
"5812980944","KCab-s_R","kcabs","d","alphabeta",5,95
"507243409","KCab-c_R","kcabc","c","alphabeta",6,84
"5901198074","KCg-m_R","kcg","c","gamma",10,195
"1140603698","KCab-s_R","kcabs","d","alphabeta",6,113
"704750665","KCab-m_R","kcabm","c","alphabeta",6,86
"5812979176","KCg-m_R","kcg","c","gamma",7,150
"1515418525","KCa'b'-m_R","kcabprimem","d","alphaprimebetaprime",4,60
"5813021400","KCab-m_R","kcabm","c","alphabeta",5,77
"1162063500","KCab-m_R","kcabm","c","alphabeta",5,76
"1174077762","KCg-m_R","kcg","c","gamma",6,181
"538653955","KCab-c_R","kcabc","c","alphabeta",6,104
"354775482","KCg-m_R","kcg","d","gamma",7,149
"5813062637","KCg-m_R","kcg","c","gamma",9,189
"5813098738","KCab-s_R","kcabs","d","alphabeta",3,46
"610618198","KCa'b'-m_R","kcabprimem","c","alphaprimebetaprime",6,83
"1048854479","KCa'b'-ap2_R","kcabprimeap2","a","alphaprimebetaprime",6,94
"446848967","KCg-m_R","kcg","d","gamma",11,204
"631064055","KCg-m_R","kcg","c","gamma",9,170
"600689582","KC part due to gap","unknown","d","unknown",1,11
"939729237","KCab-s_R","kcabs","a","alphabeta",7,118
"1142024290","KCg-m_R","kcg","c","gamma",7,127
"5813021415","KCg-m_R","kcg","b","gamma",7,153
"5812981986","KCg-m_R","kcg","c","gamma",9,142
