"image","side","z","roi","Area","brain.number","genotype","chat.fluo","chat.slice.fluo","chat.norm.f","mz19.fluo","mz19.slice.fluo","mz19.norm.f","kc.fluo","kc.slice.fluo","kc.norm.f","sampleid"
"12","L","17","nonmz19",1.592,"11D","dpr4",104.987,69.874,1.50251881958955,81.241,42.357,1.91800646882452,56.633,48.106,1.17725439654097,"12L"
"14","L","4/","nonmz19",6.591,"16D","dpr4",123.743,71.182,1.73840296704223,29.453,28.665,1.02748997034711,46.379,59.803,0.775529655702891,"14L"
"14","L","6/","nonmz19",3.689,"16D","dpr4",103.388,72.485,1.42633648341036,54.71,21.212,2.57920045257401,102.82,52.77,1.94845556187228,"14L"
"14","L","6/","nonmz19",4.596,"16D","dpr4",121.675,72.485,1.67862316341312,32.004,21.212,1.50876862153498,88.579,52.77,1.6785863179837,"14L"
"14","L","6/","nonmz19",4.031,"16D","dpr4",110.93,72.485,1.53038559702007,57.485,21.212,2.71002262870074,89.47,52.77,1.69547091150275,"14L"
"14","L","8/","nonmz19",6.733,"16D","dpr4",89.461,70.702,1.26532488472745,25.506,19.162,1.33107191316147,26.644,43.278,0.615647673182679,"14L"
"14","L","8/","nonmz19",2.137,"16D","dpr4",129,70.702,1.82455941840401,32.689,19.162,1.70592839995825,40.698,43.278,0.940385415222515,"14L"
"14","L","8/","nonmz19",3.265,"16D","dpr4",127.957,70.702,1.80980736047071,32.241,19.162,1.68254879448909,76.537,43.278,1.76849669578077,"14L"
"14","L","8/","nonmz19",5.704,"16D","dpr4",102.078,70.702,1.44377811094453,30.445,19.162,1.58882162613506,91.269,43.278,2.10890059614585,"14L"
"14","L","10","nonmz19",5.765,"16D","dpr4",100.969,75.623,1.33516258281211,22.028,19.877,1.10821552548171,29.252,42.301,0.691520295028486,"14L"
"14","L","10","nonmz19",2.56,"16D","dpr4",103.197,75.623,1.36462451899554,61.354,19.877,3.08668310107159,102.425,42.301,2.42133755703175,"14L"
"14","L","10","nonmz19",4.959,"16D","dpr4",91.346,75.623,1.20791293654047,22.508,19.877,1.13236403883886,56.016,42.301,1.3242240136167,"14L"
"14","L","10","nonmz19",3.447,"16D","dpr4",101.199,75.623,1.33820398555995,30.386,19.877,1.52870151431303,69.298,42.301,1.63821186260372,"14L"
"14","L","12","nonmz19",2.54,"16D","dpr4",112.659,77.859,1.44696181558972,36,20.829,1.72835949877575,94.698,44.246,2.14026126655517,"14L"
"14","L","12","nonmz19",2.237,"16D","dpr4",106.703,77.859,1.37046455772615,37.333,20.829,1.79235681021652,107.189,44.246,2.42256927179858,"14L"
"14","L","12","nonmz19",4.676,"16D","dpr4",98.797,77.859,1.26892202571315,44.332,20.829,2.12837870277018,55.957,44.246,1.26467929304344,"14L"
"14","L","12","nonmz19",4.193,"16D","dpr4",117.062,77.859,1.50351276024609,37.548,20.829,1.8026789572231,96.923,44.246,2.19054829815125,"14L"
"14","L","12","nonmz19",2.58,"16D","dpr4",99.336,77.859,1.27584479636266,55.195,20.829,2.64991118152576,73.688,44.246,1.66541608280975,"14L"
"14","L","14","nonmz19",5.201,"16D","dpr4",130.244,75.122,1.73376640664519,35.74,20.279,1.76241432023275,29.857,46.92,0.636338448422847,"14L"
"14","L","16","nonmz19",2.016,"16D","dpr4",112.22,73.263,1.53174180691481,55.01,20.577,2.67337318365165,53.05,52.425,1.01192179303767,"14L"
"14","L","16","nonmz19",1.975,"16D","dpr4",94.898,73.263,1.2953059525272,26.98,20.577,1.31117266851339,57.418,52.425,1.09524082021936,"14L"
"15","L","6/","nonmz19",8.406,"11D","dpr4",139.417,82.179,1.69650397303447,31.3,20.06,1.56031904287139,24.585,25.641,0.958815958815959,"15L"
"15","L","6/","nonmz19",9.393,"11D","dpr4",137.878,82.179,1.67777656092189,29.824,20.06,1.48673978065803,33.552,25.641,1.30852930852931,"15L"
"15","L","8/","nonmz19",2.298,"11D","dpr4",136.061,89.03,1.52826013703246,31.132,21.741,1.43194885239869,30.061,31.311,0.960077927884769,"15L"
"15","L","8/","nonmz19",4.495,"11D","dpr4",130.368,89.03,1.46431539930361,28.865,21.741,1.32767581987949,28.874,31.311,0.922167928204146,"15L"
"15","L","8/","nonmz19",4.072,"11D","dpr4",114.832,89.03,1.28981242277884,47.955,21.741,2.20574030633366,27.48,31.311,0.87764683338124,"15L"
"15","L","10","nonmz19",3.366,"11D","dpr4",114.401,84.797,1.34911612439119,29.102,20.434,1.42419496916903,56.527,36.904,1.5317309776718,"15L"
